mint_number,NRI,Collection Rank,hand,shirt,head,waist,foot,pants,underwear,accessory,hand_probability,shirt_probability,head_probability,waist_probability,foot_probability,pants_probability,underwear_probability,accessory_probability,total_probability
1,0.41444819397575305,4685,Old Waifu Pillow,Medieval Rain Coat,Bonnet,Belt,Slippers,Bell Bottoms,Boy Shorts,2021 Exclusive Pass,0.0004999375078115235,0.004874390701162355,0.01712285964254468,0.1078615173103362,0.023497062867141608,0.02674665666791651,0.047244094488188976,0.0003749531308586427,5.0105624005649575e-17
2,0.04036995375578056,7678,Wine Glass,Plastic Shirt,Bandana,Chrome Belt,Studded Boots,Leggings,String Bikini,Grocery Bag,0.020122484689413824,0.0169978752655918,0.009998750156230472,0.05061867266591676,0.023747031621047368,0.0281214848143982,0.05486814148231471,0.011748531433570804,7.452193520425447e-14
3,0.9426321709786276,459,Cat,Kimono,Feather Hat,1950s Fish Belt,Worn Out Boat shoes,3yr Old Leggings,Used G-String,Heart Glasses,0.01799775028121485,0.018872640919885015,0.012998375203099613,0.0007499062617172854,0.00024996875390576176,0.0004999375078115235,0.0006249218847644045,0.011498562679665042,2.9731559140986992e-21
4,0.5481814773153355,3615,Record Player,Waist Coat,Second Hand Silk Hood,Belt,3yr Old Sandals,Hot Pants,1980s Diaper,Pendant,0.01937257842769654,0.01549806274215723,0.0006249218847644045,0.1078615173103362,0.0014998125234345708,0.026496687914010747,0.001249843769528809,0.01274840644919385,1.2814371158466208e-17
5,0.34570678665166854,5235,Massager,Sweater,2021 Coonskin Cap,Belt,Riding Boots,Leggings,Victorian Thong,Tennis Bag,0.01837270341207349,0.01687289088863892,0.0007499062617172854,0.1078615173103362,0.01937257842769654,0.0281214848143982,0.000999875015623047,0.010498687664041995,1.4339779568673692e-16
6,0.5206849143857017,3835,2yr Old Pillow,Cape,Medieval Sombrero,Studded Belt,Riding Boots,Dress Pants,Boxer Briefs,Golf Bag,0.00024996875390576176,0.016372953380827397,0.00024996875390576176,0.05649293838270216,0.01937257842769654,0.024996875390576177,0.05199350081239845,0.012373453318335208,1.8005524529433528e-17
7,0.5236845394325709,3811,Cellphone,Puffer Jacket,Retro Sun Hat,Chrome Belt,Boat shoes,Jeans,Boxer Briefs,Victorian 3D Glasses,0.017747781527309086,0.01524809398825147,0.0003749531308586427,0.05061867266591676,0.021747281589801274,0.023622047244094488,0.05199350081239845,0.00012498437695288088,1.7146467980392182e-17
8,0.706161729783777,2351,Waifu Pillow,Button Up,Tiara,Bat Belt,Studded Boots,Vintage Tights,Aged String Bikini,1950s Casio Watch,0.0196225471816023,0.01549806274215723,0.014873140857392825,0.06161729783777028,0.023747031621047368,0.0006249218847644045,0.0006249218847644045,0.0003749531308586427,9.691163470502371e-19
9,0.852018497687789,1184,Beer Mug,5yr Old Bikini Top,Silk Hood,Rope,Retro Leather Boots,"""Blood Red"" 1970s Skirt (Collectors Edition) 🔥",String Bikini,5yr Old Exclusive Pass,0.01949756280464942,0.004874390701162355,0.010998625171853519,0.05861767279090114,0.0004999375078115235,0.00012498437695288088,0.05486814148231471,0.0003749531308586427,7.876555241891596e-20
10,0.974878140232471,201,Umbrella,Safari Jacket,2021 Headband,Medieval Chrome Belt,Linen Shoes,5yr Old Swim Trunks,Aged Trunks,Second Hand Grocery Bag,0.018997625296837895,0.016372953380827397,0.0004999375078115235,0.0007499062617172854,0.022122234720659918,0.0004999375078115235,0.0007499062617172854,0.0003749531308586427,3.6264168570287384e-22
11,0.9858767654043245,113,1990s Blanket,Kimono,"""Steampunk"" Futuristic Sun Hat (Dirty) 🔥",2yr Old Studded Belt,Flip Flops,Second Hand Cutoff Pants,1980s Trunks,Heart Glasses,0.0003749531308586427,0.018872640919885015,0.00012498437695288088,0.000999875015623047,0.023747031621047368,0.0007499062617172854,0.0004999375078115235,0.011498562679665042,9.052878584595395e-23
12,0.4814398200224972,4149,Second Hand Scissors,1970s Button Up,Sailors Bonet,Chrome Belt,Loafers,Hot Pants,Garter,1950s Tackle Box,0.0003749531308586427,0.006124234470691163,0.01399825021872266,0.05061867266591676,0.022622172228471443,0.026496687914010747,0.0536182977127859,0.0004999375078115235,2.6143753295408784e-17
13,0.8480189976252969,1216,Beggar Cup,Bikini Top,1970s Silk Hood,Studded Belt,1970s Stilletos,1950s Riding Pants,Diaper,Medieval Hat Bag,0.01849768778902637,0.016372953380827397,0.0004999375078115235,0.05649293838270216,0.0006249218847644045,0.0007499062617172854,0.05649293838270216,0.0003749531308586427,8.490987825125377e-20
14,0.14323209598800146,6855,Cellphone,Safari Jacket,Headband,Platinum Belt,Brand New Hightops,Bell Bottoms,Granny Panties,Contact Lenses,0.017747781527309086,0.016372953380827397,0.014498187726534183,0.051118610173728284,0.0007499062617172854,0.02674665666791651,0.05199350081239845,0.0111236095488064,2.4982456219326835e-15
15,0.2815898012748407,5748,"""Fruit Print"" 1960s Massager (Sexy) 🔥",Victorian Kimono,Sun Hat,Belt,Slides,Tennis Skirt,G-String,Smart Watch,0.00012498437695288088,0.0064991876015498065,0.014498187726534183,0.1078615173103362,0.024621922259717537,0.026371703537057867,0.050368703912010995,0.013873265841769778,5.763611134544694e-16
16,0.48543932008498936,4117,Futuristic Cat,Button Up,Sailors Bonet,Platinum Belt,1990s Brogues,Cargo Pants,Panties,Spectacles,0.00024996875390576176,0.01549806274215723,0.01399825021872266,0.051118610173728284,0.0006249218847644045,0.02712160979877515,0.047494063242094736,0.01124859392575928,2.5101212045066965e-17
17,0.27046619172603426,5837,Banjo,"""Camo"" Aged Shirt (Formal) 🔥",Silk Hood,Belt,Ice Skates,Baggy Pants,Boxer Briefs,Tote Bag,0.01687289088863892,0.00012498437695288088,0.010998625171853519,0.1078615173103362,0.01674790651168604,0.025746781652293462,0.05199350081239845,0.011623547056617924,6.519606303774783e-16
18,0.06874140732408451,7451,Blanket,Used Safari Jacket,Crown,Belt,Moccasins,Skinny Jeans,Boxers,Snake,0.01799775028121485,0.004624421947256593,0.014498187726534183,0.1078615173103362,0.022622172228471443,0.026246719160104987,0.04611923509561305,0.010873640794900637,3.875451678492469e-14
19,0.7009123859517561,2393,Tennis Racket,1920s Cardigan,Sun Hat,Belt,1980s Shoes,Second Hand Cutoff Pants,Retro Thong,Portfolio Bag,0.01937257842769654,0.005124359455068116,0.014498187726534183,0.1078615173103362,0.0011248593925759281,0.0007499062617172854,0.0007499062617172854,0.010748656417947757,1.0555374293741925e-18
20,0.35408073990751154,5168,Microphone,Button Up,Tiara,Belt,Medieval Dress Shoe,Skort,5yr Old Trunks,Green Contacts,0.015998000249968752,0.01549806274215723,0.014873140857392825,0.1078615173103362,0.0007499062617172854,0.025871766029246346,0.001249843769528809,0.01262342207224097,1.217525927154633e-16
21,0.6441694788151482,2847,Wine Glass,Shirt,Silk Hood,Belt,1980s Shoes,Kilt,1800s Trunks,5yr Old Engagement Ring,0.020122484689413824,0.01824771903512061,0.010998625171853519,0.1078615173103362,0.0011248593925759281,0.02837145356830396,0.0006249218847644045,0.0003749531308586427,3.2574492786742638e-18
22,0.6675415573053368,2660,Tennis Racket,Safari Jacket,Crown,Bat Belt,Medieval Dress Shoe,Medieval Skinny Jeans,Jockstrap,Second Hand Nerd Glasses,0.01937257842769654,0.016372953380827397,0.014498187726534183,0.06161729783777028,0.0007499062617172854,0.0006249218847644045,0.03999500062492189,0.0003749531308586427,1.991343710914284e-18
23,0.562429696287964,3501,Waifu Pillow,"""Velour"" 1920s Cardigan (Haute Couture) 🔥",Sun Hat,Bat Belt,Boat shoes,1980s Trousers,Jockstrap,Spectacles,0.0196225471816023,0.00012498437695288088,0.014498187726534183,0.06161729783777028,0.021747281589801274,0.0004999375078115235,0.03999500062492189,0.01124859392575928,1.071647919128419e-17
24,0.14460692413448317,6844,Pen,Tuxedo Jacket,Tiara,5yr Old Bat Belt,Studded Boots,Skort,String Bikini,Scrunchie,0.02099737532808399,0.014998125234345707,0.014873140857392825,0.0011248593925759281,0.023747031621047368,0.025871766029246346,0.05486814148231471,0.013748281464816898,2.4417825577564227e-15
25,0.014123234595675549,7888,Cane,Blazer,Headband,Bat Belt,Boat shoes,Karate Pants,String Bikini,Tackle Box,0.021372328458942633,0.017497812773403325,0.014498187726534183,0.06161729783777028,0.021747281589801274,0.02687164104486939,0.05486814148231471,0.010498687664041995,1.1246215619008434e-13
26,0.3047119110111236,5563,Pocket Watch,Sports Bra,Bow Hat,Jeweled Belt,"""Flashing"" 1920s Studded Boots (Synthetic) 🔥",Jeans,Midway Briefs,Exclusive Pass,0.02074740657417823,0.015748031496062992,0.01274840644919385,0.05486814148231471,0.00012498437695288088,0.023622047244094488,0.04361954755655543,0.013123359580052493,3.8624750945525695e-16
27,0.6555430571178602,2756,Brand New Scissors,Tailcoat,Victorian Coonskin Cap,Shoelace Belt,Flip Flops,Bell Bottoms,Midway Briefs,1960s Ski Goggle,0.0004999375078115235,0.013748281464816898,0.0004999375078115235,0.05411823522059742,0.023747031621047368,0.02674665666791651,0.04361954755655543,0.0004999375078115235,2.5757232220964775e-18
28,0.9038870141232346,769,1950s Beggar Cup,Tuxedo Jacket,1980s Captain Hat,Chrome Belt,Loafers,Victorian Trousers,Panties,2yr Old Tool Box,0.00024996875390576176,0.014998125234345707,0.0003749531308586427,0.05061867266591676,0.022622172228471443,0.0003749531308586427,0.047494063242094736,0.0004999375078115235,1.4331009170251205e-20
29,0.6524184476940382,2781,Vintage Microphone,Blazer,Hood,Studded Belt,Flip Flops,"""Preppy"" 1950s Cargo Pants (Custom) 🔥",Boxer Briefs,Heart Glasses,0.00012498437695288088,0.017497812773403325,0.013123359580052493,0.05649293838270216,0.023747031621047368,0.00012498437695288088,0.05199350081239845,0.011498562679665042,2.8769768361932066e-18
30,0.3097112860892388,5523,Beer Mug,Sports Bra,Wizard Hat,Fanny Pack,Loafers,"""Blood Red"" Brand New Cargo Pants (Sexy) 🔥",Garter,Necklace,0.01949756280464942,0.015748031496062992,0.011998500187476566,0.05199350081239845,0.022622172228471443,0.00012498437695288088,0.0536182977127859,0.012248468941382326,3.556865857146433e-16
31,0.8475190601174853,1220,Old Video Game Console,1960s Tailcoat,Umbrella Hat,Suspenders,Slides,1970s Baggy Pants,Diaper,Victorian Wristband,0.0003749531308586427,0.005749281339832521,0.01124859392575928,0.05436820397450319,0.024621922259717537,0.0003749531308586427,0.05649293838270216,0.00012498437695288088,8.593747817424625e-20
32,0.7447819022622173,2042,1980s Trumpet,Tuxedo Jacket,Top Hat,Platinum Belt,Brogues,Medieval Skinny Jeans,5yr Old Panties,Suitcase,0.0003749531308586427,0.014998125234345707,0.015748031496062992,0.051118610173728284,0.01849768778902637,0.0006249218847644045,0.0008748906386701663,0.011623547056617924,5.321755270165939e-19
33,0.4575678040244969,4340,"""Glittery"" Medieval Key (Hip) 🔥",Cardigan,Yarmulke,Belt,Slides,Cutoff Pants,Second Hand Boxer Briefs,Bow Tie,0.00012498437695288088,0.031996000499937505,0.016122984626921636,0.1078615173103362,0.024621922259717537,0.02662167229096363,0.0006249218847644045,0.011373578302712161,3.239988989256408e-17
34,0.935008123984502,520,Second Hand Record Player,Futuristic Sports Bra,Flower Crown,1920s Fish Belt,Brogues,Brand New Skort,5yr Old Garter,Smart Watch,0.0004999375078115235,0.004124484439445069,0.013873265841769778,0.001249843769528809,0.01849768778902637,0.0008748906386701663,0.0004999375078115235,0.013873265841769778,4.013150734857356e-21
35,0.7007874015748031,2394,Cellphone,5yr Old Polo Shirt,Feather Hat,Fish Belt,Retro Boat shoes,Kilt,"""Plaid"" Second Hand Diaper (Monogramed) 🔥",Steamer Trunk,0.017747781527309086,0.004874390701162355,0.012998375203099613,0.049868766404199474,0.0004999375078115235,0.02837145356830396,0.00012498437695288088,0.010623672040994875,1.056111562431219e-18
36,0.4453193350831146,4438,"""Blazing"" 3yr Old Paintbrush (Signed) 🔥",Tuxedo Jacket,Doo Rag,Belt,Old Studded Boots,Jeans,String Bikini,Blindfold,0.00012498437695288088,0.014998125234345707,0.010123734533183352,0.1078615173103362,0.0011248593925759281,0.023622047244094488,0.05486814148231471,0.012373453318335208,3.692554600728864e-17
37,0.08986376702912136,7282,Aged Whip,Cardigan,Crown,Belt,Leather Boots,Yoga Pants,String Bikini,Ski Goggle,0.0003749531308586427,0.031996000499937505,0.014498187726534183,0.1078615173103362,0.01712285964254468,0.031996000499937505,0.05486814148231471,0.011498562679665042,6.484682567736764e-15
38,0.9736282964629421,211,1970s Spoon,"""Glittery"" Futuristic Sports Bra (Dirty) 🔥",Visor,"""Checkered"" 1920s Studded Belt (Formal) 🔥",Linen Shoes,Skort,Medieval Trunks,Tool Box,0.00024996875390576176,0.00012498437695288088,0.016497937757780277,0.00012498437695288088,0.022122234720659918,0.025871766029246346,0.0008748906386701663,0.012873390826146731,4.1526816626982674e-22
39,0.3128358955130609,5498,Pen,5yr Old Polo Shirt,Cowboy,Retro Studded Belt,Boat shoes,Karate Pants,Trunks,Aviator Sunglasses,0.02099737532808399,0.004874390701162355,0.013498312710911136,0.0007499062617172854,0.021747281589801274,0.02687164104486939,0.044119485064366956,0.012498437695288089,3.338544311993291e-16
40,0.35795525559305086,5137,Fidget Spinner,Button Up,Fez,1920s Bat Belt,Old Studded Boots,Jeans,String Bikini,Wristband,0.020372453443319585,0.01549806274215723,0.014748156480439945,0.001249843769528809,0.0011248593925759281,0.023622047244094488,0.05486814148231471,0.013248343957005373,1.1241178205803164e-16
41,0.2929633795775528,5657,"""Goth"" Aged Blanket (Limited Edition) 🔥",Bikini Top,Sombrero,Bat Belt,Leather Boots,Bell Bottoms,String Bikini,Feather Boa,0.00012498437695288088,0.016372953380827397,0.012998375203099613,0.06161729783777028,0.01712285964254468,0.02674665666791651,0.05486814148231471,0.011623547056617924,4.787173858174573e-16
42,0.6112985876765404,3110,Scissors,"""Sparkly"" Used Safari Jacket (Collectors Edition) 🔥",Propeller Hat,Aged Chrome Belt,Linen Shoes,Trousers,Trunks,Suitcase,0.016372953380827397,0.00012498437695288088,0.014248218972628422,0.0006249218847644045,0.022122234720659918,0.02799650043744532,0.044119485064366956,0.011623547056617924,5.7872324513595506e-18
43,0.5985501812273466,3212,Microphone,Kimono,Space Helmet,1970s Studded Belt,"""Anime"" 1950s Sandals (Drippin) 🔥",Cargo Pants,Trunks,Goggles,0.015998000249968752,0.018872640919885015,0.013123359580052493,0.000999875015623047,0.00012498437695288088,0.02712160979877515,0.044119485064366956,0.011748531433570804,6.96104325732652e-18
44,0.5091863517060368,3927,3yr Old Paintbrush,Dinner Jacket,Wedding Veil,Chrome Belt,Studded Boots,Crop Pants,1990s Panties,Steamer Trunk,0.0004999375078115235,0.015873015873015872,0.013123359580052493,0.05061867266591676,0.023747031621047368,0.030371203599550055,0.0004999375078115235,0.010623672040994875,2.0192619554316886e-17
45,0.06799150106236718,7457,Microphone,Polyester Shirt,Dunce Cap,Studded Belt,Cowboy Boots,Skinny Jeans,Boxer Briefs,Steamer Trunk,0.015998000249968752,0.013123359580052493,0.01262342207224097,0.05649293838270216,0.0196225471816023,0.026246719160104987,0.05199350081239845,0.010623672040994875,4.25927927920787e-14
46,0.0343707036620422,7726,Beer Mug,Hoodie,Flat Cap,Chrome Belt,Linen Shoes,Kilt,Boxers,Blindfold,0.01949756280464942,0.01799775028121485,0.01262342207224097,0.05061867266591676,0.022122234720659918,0.02837145356830396,0.04611923509561305,0.012373453318335208,8.031007074615483e-14
47,0.5060617422822147,3952,"""Boho"" 1920s Banjo (Alien) 🔥",Graphic Tee,Victorian Bowler Hat,Studded Belt,Sandals,Tennis Skirt,Thong,Antique Watch,0.00012498437695288088,0.015748031496062992,0.0006249218847644045,0.05649293838270216,0.025746781652293462,0.026371703537057867,0.045744281964754406,0.009623797025371828,2.077046919840148e-17
48,0.6280464941882264,2976,Retro Blanket,Button Up,1980s Doo Rag,Chrome Belt,Studded Boots,Track Pants,Panties,Futuristic Briefcase,0.0004999375078115235,0.01549806274215723,0.0007499062617172854,0.05061867266591676,0.023747031621047368,0.026121734783152106,0.047494063242094736,0.0004999375078115235,4.331888422018643e-18
49,0.04486939132608425,7642,Purse,Shirt,Safari Hat,Studded Belt,Cowboy Boots,Chaps,Boxer Briefs,Briefcase,0.01862267216597925,0.01824771903512061,0.013373328333958255,0.05649293838270216,0.0196225471816023,0.024246969128858892,0.05199350081239845,0.0111236095488064,7.064670208778991e-14
50,0.21172353455818027,6307,Dog Leash,Safari Jacket,Beanie,Belt,Linen Shoes,Baggy Pants,Boxers,2yr Old Shades,0.01724784401949756,0.016372953380827397,0.012373453318335208,0.1078615173103362,0.022122234720659918,0.025746781652293462,0.04611923509561305,0.00012498437695288088,1.2373970091771931e-15
51,0.8768903887014123,985,Spoon,Cardigan,"""Glittery"" Victorian Helmet (Cruelty Free) 🔥","""Icy Blue"" 2yr Old Belt (Fire) 🔥",Boat shoes,Capri Pants,Thong,1990s Tennis Bag,0.02099737532808399,0.031996000499937505,0.00012498437695288088,0.00012498437695288088,0.021747281589801274,0.025996750406199226,0.045744281964754406,0.00012498437695288088,3.3922570397267304e-20
52,0.8453943257092863,1237,"""Leopard Print"" Retro Wrench (Wet) 🔥",1980s Dinner Jacket,Used Panama Hat,Belt,Studded Boots,Second Hand Tights,String Bikini,Sunglasses,0.00012498437695288088,0.005374328208973878,0.00024996875390576176,0.1078615173103362,0.023747031621047368,0.0003749531308586427,0.05486814148231471,0.010123734533183352,8.957348644574739e-20
53,0.41357330333708286,4692,Cellphone,Victorian Tunic,Medieval Headband,Belt,Boat shoes,5yr Old Shorts,String Bikini,Festival Wristband,0.017747781527309086,0.005374328208973878,0.0006249218847644045,0.1078615173103362,0.021747281589801274,0.0004999375078115235,0.05486814148231471,0.013123359580052493,5.033226745195152e-17
54,0.00912385951756034,7928,Waifu Pillow,Hoodie,Silk Hood,Belt,Studded Boots,Tennis Skirt,Midway Briefs,Heart Glasses,0.0196225471816023,0.01799775028121485,0.010998625171853519,0.1078615173103362,0.023747031621047368,0.026371703537057867,0.04361954755655543,0.011498562679665042,1.3159844562794478e-13
55,0.4489438820147481,4409,Fidget Spinner,Tailcoat,Sailors Bonet,Belt,Retro Boat shoes,Bell Bottoms,Used Midway Briefs,Aviator Sunglasses,0.020372453443319585,0.013748281464816898,0.01399825021872266,0.1078615173103362,0.0004999375078115235,0.02674665666791651,0.0004999375078115235,0.012498437695288089,3.5333666099827506e-17
56,0.859392575928009,1125,Record Player,Tuxedo Jacket,"""Crunchy"" Used Sun Hat (Fire) 🔥",1990s Belt,Studded Boots,Chaps,"""Bright Yellow"" 1920s String Bikini (Hip) 🔥",Wristband,0.01937257842769654,0.014998125234345707,0.00012498437695288088,0.0018747656542932134,0.023747031621047368,0.024246969128858892,0.00012498437695288088,0.013248343957005373,6.490994425323715e-20
57,0.7119110111236095,2305,Record Player,2021 Blazer,1960s Headband,Belt,Boat shoes,Karate Pants,Worn Out String Bikini,1990s Steamer Trunk,0.01937257842769654,0.005249343832020997,0.0008748906386701663,0.1078615173103362,0.021747281589801274,0.02687164104486939,0.0006249218847644045,0.00024996875390576176,8.760388556798006e-19
