hand,shirt,head,waist,foot,pants,underwear,accessory,mint_number
Record Player,Bowling Shirt,Aged Porkpie Hat,Belt,"""Bright Yellow"" Vintage Socks (Ugly) 🔥",Track Pants,Bikini,Nerd Glasses,1
Key,Sports Bra,Fedora,Belt,2yr Old Cleats,Sweat Pants,Boxer Briefs,Amulet,2
Wine Glass,Tailcoat,1920s Cowboy,Retro Belt,Socks,Karate Pants,1960s Panties,Festival Wristband,3
Blanket,1950s Tuxedo Jacket,Used Bandana,Belt,2yr Old Cleats,1980s Riding Pants,Boxer Briefs,Tote Bag,4
"""Psychedelic"" Retro Beer Mug (Collectors Edition) 🔥",2021 Blazer,Crown,Fanny Pack,Pumps,Medieval Hot Pants,Panties,Sunglasses,5
Microphone,Futuristic Sports Bra,Silk Hood,Suspenders,Stilletos,1980s Leggings,2yr Old Garter,Neck Tie,6
Second Hand Key,Tailcoat,Cowboy,Belt,Pumps,Track Pants,Boxers,Ski Goggle,7
1990s Wand,Tuxedo Jacket,Bandana,Studded Belt,Stilletos,Crop Pants,1950s Granny Panties,Tool Box,8
Megaphone,2021 Blazer,Brand New Crown,Jeweled Belt,Snow Boots,Tennis Skirt,Brand New Garter,Antique Watch,9
Guitar,Shawl,1950s Silk Hood,Shoelace Belt,Cowboy Boots,Retro Shorts,String Bikini,Goggles,10
Microphone,Fishnet Shirt,Cowboy,Platinum Belt,Snow Boots,Hot Pants,Granny Panties,VR Goggles,11
Laptop,Dinner Jacket,Fez,2021 Belt,Cowboy Boots,3yr Old Jeans,Midway Briefs,1980s Engagement Ring,12
Banjo,Tunic,Crown,Belt,5yr Old Roller Skates,Victorian Capri Pants,String Bikini,Medieval Pendant,13
Golf Club,Shawl,Visor,2021 Suspenders,1800s Wedge,Track Pants,Bikini,1980s Blindfold,14
Spoon,Fishnet Shirt,Cowboy,1950s Suspenders,Riding Boots,Sweat Pants,Midway Briefs,Tackle Box,15
Brand New TV Controller,Dinner Jacket,Futuristic Fez,Studded Belt,High Heel Sandals,3yr Old Skinny Jeans,Tighty-whities,Heart Glasses,16
1800s Blanket,"""Cloud White"" Victorian Tunic (Haute Couture) 🔥",Crown,Studded Belt,Platform Boots,1920s Crop Pants,Trunks,Scarf,17
1990s Banjo,Sports Bra,Visor,2021 Shoelace Belt,Derby Shoes,Tights,Panties,Tennis Bag,18
Key,Tailcoat,Cowboy,Shoelace Belt,Socks,Shorts,Victorian Jockstrap,Engagement Ring,19
Pocket Watch,Plastic Shirt,Worn Out Bandana,Belt,Cleats,Bell Bottoms,1970s Boxers,VR Goggles,20
Cellphone,Tunic,Porkpie Hat,Leather Belt,Sneakers,Jeans,Boxer Briefs,Goggles,21
